HMDB ID,Name,Chemical Formula,Monoisotopic Mass
HMDB00377,"3a,6b,7b,12b-Tetrahydroxy-5b-cholanoic acid",C24H40O6,424.282489012
HMDB00378,2-Methylbutyroylcarnitine,C12H23NO4,245.162708229
HMDB00379,2-Methylcitric acid,C7H10O7,206.042652674
HMDB00380,2-Hydroxyestradiol-3-methyl ether,C19H26O3,302.188194698
HMDB00381,Allolithocholic acid,C24H40O3,376.297745146
HMDB00382,"3b,17a,21-Trihydroxypregnenone",C21H32O4,348.230059512
HMDB00383,"3a,17a-Dihydroxy-5b-androstane",C19H32O2,292.240230268
HMDB00384,"3a,7a-Dihydroxycholanoic acid",C24H40O4,392.292659768
HMDB00385,12a-Hydroxy-3-oxocholadienic acid,C24H34O4,386.245709576
HMDB00386,"3b,16a-Dihydroxyandrostenone sulfate",C19H28O6S,384.160659318
HMDB00387,3-Hydroxydodecanoic acid,C12H24O3,216.172544634
HMDB00388,"3a,16-Dihydroxyandrostenone",C19H28O3,304.203844762
HMDB00389,2'-Deoxysepiapterin,C9H11N5O2,221.091274621
HMDB00390,"3a,7b,12b-Trihydroxy-5b-cholanoic acid",C24H40O5,408.28757439
HMDB00391,7-Ketodeoxycholic acid,C24H38O5,406.271924326
HMDB00392,2-Octenoic acid,C8H14O2,142.099379692
HMDB00393,3-Hexenedioic acid,C6H8O4,144.042258744
HMDB00394,3-Hydroxytetradecanedioic acid,C14H26O5,274.178023942
HMDB00395,"3b,7b,12a-Trihydroxy-5b-cholanoic acid",C24H40O5,408.28757439
HMDB00396,2-Ethylhydracrylic acid,C5H10O3,118.062994186
HMDB00397,2-Pyrocatechuic acid,C7H6O4,154.02660868
HMDB00398,3-Oxoadipic acid,C6H8O5,160.037173366
HMDB00399,"3a,6b,7a,12a-Tetrahydroxy-5b-cholanoic acid",C24H40O6,424.282489012
HMDB00400,"3,7-Dihydroxy-12-oxocholanoic acid",C24H38O5,406.271924326
HMDB00401,"2,8-Dihydroxyadenine",C5H5N5O2,167.044324429
HMDB00402,2-Isopropylmalic acid,C7H12O5,176.068473494
HMDB00403,2-Hydroxyadenine,C5H5N5O,151.049409807
HMDB00404,"2b,3a,7a-Trihydroxy-5b-cholanoic acid",C24H40O5,408.28757439
HMDB00405,2-Methoxyestradiol,C19H26O3,302.188194698
HMDB00406,16-Ketoestradiol,C18H22O3,286.15689457
HMDB00407,2-Hydroxy-3-methylbutyric acid,C5H10O3,118.062994186
HMDB00408,2-Methyl-3-ketovaleric acid,C6H10O3,130.062994186
HMDB00409,(5R)-5-Hydroxyhexanoic acid,C6H12O3,132.07864425
HMDB00410,"3-Hydroxy-2-methyl-[S-(R,R)]-butanoic acid",C5H10O3,118.062994186
HMDB00411,"3a,12b-Dihydroxy-5b-cholanoic acid",C24H40O4,392.292659768
HMDB00412,"3b,17a-Dihydroxy-5a-androstane",C19H32O2,292.240230268
HMDB00413,3-Hydroxydodecanedioic acid,C12H22O5,246.146723814
HMDB00414,"1b,3a,7a-Trihydroxy-5b-cholanoic acid",C24H40O5,408.28757439
HMDB00415,"3a,6b,7b-Trihydroxy-5b-cholanoic acid",C24H40O5,408.28757439
HMDB00416,17-Hydroxypregnenolone sulfate,C21H32O6S,412.191959446
HMDB00417,"3D,7D,11D-Phytanic acid",C20H40O2,312.302830524
HMDB00418,18-Hydroxycortisol,C21H30O6,378.204238692
HMDB00419,"3b,7a,12a-Trihydroxy-5b-cholanoic acid",C24H40O5,408.28757439
HMDB00421,"2,3-Dihydroxyvaleric acid",C5H10O4,134.057908808
HMDB00422,2-Methylglutaric acid,C6H10O4,146.057908808
HMDB00423,"3,4-Dihydroxyhydrocinnamic acid",C9H10O4,182.057908808
HMDB00424,2-Hydroxydecanedioic acid,C10H18O5,218.115423686
HMDB00425,3-Deoxy-D-glycero-D-galacto-2-nonulosonic acid,C9H16O9,268.07943211
HMDB00426,Citramalic acid,C5H8O5,148.037173366
HMDB00427,"3b,7b,12a-Trihydroxy-5a-Cholanoic acid",C24H40O5,408.28757439
HMDB00428,3-Hydroxyglutaric acid,C5H8O5,148.037173366
HMDB00429,17a-Estradiol,C18H24O2,272.177630012
HMDB00430,"24,25-Dihydroxyvitamin D",C27H44O3,416.329045274
HMDB00431,"16,17-Epiestriol",C18H24O3,288.172544634
HMDB00432,"3a,7b,12a-Trihydroxy-5a-Cholanoic acid",C24H40O5,408.28757439
HMDB00433,"1,3,7,12-Tetrahydroxycholan-24-oic acid",C24H40O6,424.282489012
HMDB00434,Homoveratric acid,C10H12O4,196.073558872
HMDB00437,"3a,4b,7a,12a-Tetrahydroxy-5b-cholanoic acid",C24H40O6,424.282489012
HMDB00438,"3b,12a-Dihydroxy-5b-cholanoic acid",C24H40O4,392.292659768
HMDB00439,2-Furoylglycine,C7H7NO4,169.037507717
HMDB00440,3-Hydroxyphenylacetic acid,C8H8O3,152.047344122
HMDB00442,(S)-3-Hydroxybutyric acid,C4H8O3,104.047344122
HMDB00444,3-Furoic acid,C5H4O3,112.016043994
HMDB00445,Alpha-Tetrasaccharide,C26H45NO20,691.253492885
HMDB00446,N-Alpha-acetyllysine,C8H16N2O3,188.116092388
HMDB00447,"7a,12a-Dihydroxy-3-oxo-4-cholenoic acid",C24H36O5,404.256274262
HMDB00448,Adipic acid,C6H10O4,146.057908808
HMDB00449,5a-Tetrahydrocorticosterone,C21H34O4,350.245709576
HMDB00450,5-Hydroxylysine,C6H14N2O3,162.100442324
HMDB00451,cis-4-Hydroxycyclohexylacetic acid,C8H14O3,158.094294314
HMDB00452,L-Alpha-aminobutyric acid,C4H9NO2,103.063328537
HMDB00453,Delta-Hexanolactone,C6H10O2,114.068079564
HMDB00455,Allocystathionine,C7H14N2O4S,222.067427636
HMDB00458,"5a-Androstane-3a,17a-diol",C19H32O2,292.240230268
HMDB00459,3-Methylcrotonylglycine,C7H11NO3,157.073893223
HMDB00460,7-Hydroxy-3-oxocholanoic acid,C24H38O4,390.277009704
HMDB00462,Allantoin,C4H6N4O3,158.043990078
HMDB00464,Calcium,Ca,39.962591155
HMDB00466,3-Methylindole,C9H9N,131.073499293
HMDB00467,Nutriacholic acid,C24H38O4,390.277009704
HMDB00468,Biopterin,C9H11N5O3,237.086189243
HMDB00469,5-Hydroxymethyluracil,C5H6N2O3,142.037842068
HMDB00472,5-Hydroxy-L-tryptophan,C11H12N2O3,220.08479226
HMDB00473,6-Dimethylaminopurine,C7H9N5,163.085795313
HMDB00474,Butanone,C4H8O,72.057514878
HMDB00476,"3-Oxo-4,6-choladienoic acid",C24H34O3,370.250794954
HMDB00477,"7Z,10Z-Hexadecadienoic acid",C16H28O2,252.20893014
HMDB00478,Allodeoxycholic acid,C24H40O4,392.292659768
HMDB00479,3-Methylhistidine,C7H11N3O2,169.085126611
HMDB00481,Allopurinol riboside,C10H12N4O5,268.080769514
HMDB00482,Caprylic acid,C8H16O2,144.115029756
HMDB00483,"5b-Cholestane-3a,7a,12a,23S,25-pentol",C27H48O5,452.350174646
HMDB00484,Vanillic acid,C8H8O4,168.042258744
HMDB00486,7-Hydroxyoctanoic acid,C8H16O3,160.109944378
HMDB00488,"4E,15Z-Bilirubin IXa",C33H36N4O6,584.263484904
HMDB00489,Aspartylglycosamine,C12H21N3O8,335.132864663
HMDB00490,Etiocholanolone,C19H30O2,290.224580204
HMDB00491,3-Methyl-2-oxovaleric acid,C6H10O3,130.062994186
HMDB00492,Chloride ion,Cl,34.968852707
HMDB00493,"5a-Androstane-3b,17b-diol",C19H32O2,292.240230268
HMDB00494,Stigmastanol,C29H52O,416.401816286
HMDB00495,Androstanediol,C19H32O2,292.240230268
HMDB00496,3-Methoxy-4-hydroxyphenylglycol glucuronide,C15H20O10,360.10564686
HMDB00497,"5,6-Dihydrouridine",C9H14N2O6,246.08518619
HMDB00498,4-Deoxyerythronic acid,C4H8O4,120.042258744
HMDB00499,5-Tetradecenoic acid,C14H26O2,226.193280076
HMDB00500,4-Hydroxybenzoic acid,C7H6O3,138.031694058
HMDB00501,7-Ketocholesterol,C27H44O2,400.334130652
HMDB00502,3-Oxocholic acid,C24H38O5,406.271924326
HMDB00503,7a-Hydroxy-3-oxo-5b-cholanoic acid,C24H38O4,390.277009704
HMDB00505,Allocholic acid,C24H40O5,408.28757439
HMDB00506,Alpha-Muricholic acid,C24H40O5,408.28757439
HMDB00508,Ribitol,C5H12O5,152.068473494
HMDB00509,Senecioic acid,C5H8O2,100.0524295
HMDB00510,Aminoadipic acid,C6H11NO4,161.068807845
HMDB00511,Capric acid,C10H20O2,172.146329884
HMDB00512,N-Acetyl-L-phenylalanine,C11H13NO3,207.089543287
HMDB00513,"5b-Cholestane-3a,7a,12a,23R,25-pentol",C27H48O5,452.350174646
HMDB00514,Allochenodeoxycholic acid,C24H40O4,392.292659768
HMDB00516,Beta-D-Glucose,C6H12O6,180.063388116
HMDB00517,L-Arginine,C6H14N4O2,174.111675712
HMDB00518,Chenodeoxycholic acid,C24H40O4,392.292659768
HMDB00520,"5a-Cholestane-3a,7a,12a,25-tetrol",C27H48O4,436.355260024
HMDB00521,5Z-Tetradecenoic acid,C14H26O2,226.193280076
HMDB00522,3-Methylglutaconic acid,C6H8O4,144.042258744
HMDB00523,"5-Androstene-3b,16b,17a-triol",C19H30O3,306.219494826
HMDB00524,"5b-Cholestane-3a,7a,12a,25-tetrol",C27H48O4,436.355260024
HMDB00525,5-Hydroxyhexanoic acid,C6H12O3,132.07864425
HMDB00526,5a-Tetrahydrocortisol,C21H34O5,366.240624198
HMDB00527,"6a,12a-Dihydroxylithocholic acid",C24H40O5,408.28757439
HMDB00528,"4,5-Dihydroorotic acid",C5H6N2O4,158.03275669
HMDB00529,5-Dodecenoic acid,C12H22O2,198.161979948
HMDB00530,6-Ketoestriol,C18H22O4,302.151809192
HMDB00531,3-Hydroxyvaleric acid,C5H10O3,118.062994186
HMDB00532,Acetylglycine,C4H7NO3,117.042593095
HMDB00534,Campestanol,C28H50O,402.386166222
